"U:0","U:1","U:2","alpha.water","epsilon","k","nut","p","p_rgh","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.7644,5.1954e-06,-0.00033925,0.11546,3.3166,0.048695,6.4574e-05,3.701,-336.35,1,0.002265,0.55,0.0025,0.002265
1.7644,2.7365e-06,-0.00034181,0.097769,3.3496,0.049024,6.4794e-05,3.6724,-284.7,1,0.00228,0.55,0.0025,0.00228
1.7644,2.7761e-07,-0.00034437,0.080076,3.3825,0.049352,6.5015e-05,3.6438,-233.05,1,0.002295,0.55,0.0025,0.002295
1.7644,-2.1813e-06,-0.00034693,0.062383,3.4155,0.04968,6.5235e-05,3.6152,-181.41,1,0.00231,0.55,0.0025,0.00231
1.7643,-4.6402e-06,-0.00034949,0.04469,3.4484,0.050008,6.5455e-05,3.5866,-129.76,1,0.002325,0.55,0.0025,0.002325
1.7634,-6.2776e-05,-0.00034882,0.034164,3.4844,0.050351,6.567e-05,3.5697,-99.036,1,0.00234,0.55,0.0025,0.00234
1.7614,-0.00019051,-0.00034411,0.032595,3.5243,0.050711,6.5877e-05,3.5675,-94.461,1,0.002355,0.55,0.0025,0.002355
1.7593,-0.00031824,-0.00033939,0.031026,3.5642,0.051071,6.6084e-05,3.5652,-89.886,1,0.00237,0.55,0.0025,0.00237
1.7573,-0.00044597,-0.00033468,0.029458,3.6041,0.051431,6.6292e-05,3.563,-85.31,1,0.002385,0.55,0.0025,0.002385
1.7552,-0.0005737,-0.00032997,0.027889,3.644,0.051792,6.6499e-05,3.5607,-80.735,1,0.0024,0.55,0.0025,0.0024
1.7531,-0.00070144,-0.00032526,0.02632,3.6839,0.052152,6.6706e-05,3.5585,-76.16,1,0.002415,0.55,0.0025,0.002415
1.7511,-0.00082917,-0.00032054,0.024751,3.7238,0.052512,6.6913e-05,3.5562,-71.585,1,0.00243,0.55,0.0025,0.00243
1.749,-0.0009569,-0.00031583,0.023183,3.7637,0.052872,6.712e-05,3.554,-67.009,1,0.002445,0.55,0.0025,0.002445
1.747,-0.0010846,-0.00031112,0.021614,3.8036,0.053232,6.7328e-05,3.5517,-62.434,1,0.00246,0.55,0.0025,0.00246
1.7449,-0.0012124,-0.00030641,0.020045,3.8435,0.053592,6.7535e-05,3.5495,-57.859,1,0.002475,0.55,0.0025,0.002475
1.7429,-0.0013401,-0.00030169,0.018476,3.8833,0.053953,6.7742e-05,3.5472,-53.283,1,0.00249,0.55,0.0025,0.00249
1.7408,-0.0014678,-0.00029698,0.016908,3.9232,0.054313,6.7949e-05,3.545,-48.708,1,0.002505,0.55,0.0025,0.002505
1.7388,-0.0015956,-0.00029227,0.015339,3.9631,0.054673,6.8157e-05,3.5427,-44.133,1,0.00252,0.55,0.0025,0.00252
1.7367,-0.0017233,-0.00028756,0.01377,4.003,0.055033,6.8364e-05,3.5405,-39.557,1,0.002535,0.55,0.0025,0.002535
1.7347,-0.001851,-0.00028285,0.012201,4.0429,0.055393,6.8571e-05,3.5382,-34.982,1,0.00255,0.55,0.0025,0.00255
1.7326,-0.0019788,-0.00027813,0.010633,4.0828,0.055753,6.8778e-05,3.536,-30.407,1,0.002565,0.55,0.0025,0.002565
1.7306,-0.0021065,-0.00027342,0.0090639,4.1227,0.056114,6.8985e-05,3.5337,-25.831,1,0.00258,0.55,0.0025,0.00258
1.7285,-0.0022342,-0.00026871,0.0074951,4.1626,0.056474,6.9193e-05,3.5315,-21.256,1,0.002595,0.55,0.0025,0.002595
1.7264,-0.0023619,-0.000264,0.0059264,4.2025,0.056834,6.94e-05,3.5292,-16.681,1,0.00261,0.55,0.0025,0.00261
